Rule Index,Temperature,Humidity,Moisture,Light
1,cold,low,dry,low
2,cold,low,dry,medium
3,cold,low,dry,high
4,cold,low,medium,low
5,cold,low,medium,medium
6,cold,low,medium,high
7,cold,low,wet,low
8,cold,low,wet,medium
9,cold,low,wet,high
10,cold,medium,dry,low
11,cold,medium,dry,medium
12,cold,medium,dry,high
13,cold,medium,medium,low
14,cold,medium,medium,medium
15,cold,medium,medium,high
16,cold,medium,wet,low
17,cold,medium,wet,medium
18,cold,medium,wet,high
19,cold,high,dry,low
20,cold,high,dry,medium
21,cold,high,dry,high
22,cold,high,medium,low
23,cold,high,medium,medium
24,cold,high,medium,high
25,cold,high,wet,low
26,cold,high,wet,medium
27,cold,high,wet,high
28,medium,low,dry,low
29,medium,low,dry,medium
30,medium,low,dry,high
31,medium,low,medium,low
32,medium,low,medium,medium
33,medium,low,medium,high
34,medium,low,wet,low
35,medium,low,wet,medium
36,medium,low,wet,high
37,medium,medium,dry,low
38,medium,medium,dry,medium
39,medium,medium,dry,high
40,medium,medium,medium,low
41,medium,medium,medium,medium
42,medium,medium,medium,high
43,medium,medium,wet,low
44,medium,medium,wet,medium
45,medium,medium,wet,high
46,medium,high,dry,low
47,medium,high,dry,medium
48,medium,high,dry,high
49,medium,high,medium,low
50,medium,high,medium,medium
51,medium,high,medium,high
52,medium,high,wet,low
53,medium,high,wet,medium
54,medium,high,wet,high
55,hot,low,dry,low
56,hot,low,dry,medium
57,hot,low,dry,high
58,hot,low,medium,low
59,hot,low,medium,medium
60,hot,low,medium,high
61,hot,low,wet,low
62,hot,low,wet,medium
63,hot,low,wet,high
64,hot,medium,dry,low
65,hot,medium,dry,medium
66,hot,medium,dry,high
67,hot,medium,medium,low
68,hot,medium,medium,medium
69,hot,medium,medium,high
70,hot,medium,wet,low
71,hot,medium,wet,medium
72,hot,medium,wet,high
73,hot,high,dry,low
74,hot,high,dry,medium
75,hot,high,dry,high
76,hot,high,medium,low
77,hot,high,medium,medium
78,hot,high,medium,high
79,hot,high,wet,low
80,hot,high,wet,medium
81,hot,high,wet,high
